Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,30pF,C_0402_1005Metric,119.76,-110.8,-90.0,top
C2,30pF,C_0402_1005Metric,115.12,-110.76,90.0,top
C3,100nF,C_0402_1005Metric,123.58,-112.11,0.0,top
C4,100nF,C_0402_1005Metric,126.31,-110.86,0.0,top
C7,1uF,C_0402_1005Metric,124.76,-127.22,-45.0,top
C8,100nF,C_0402_1005Metric,127.87,-124.0,-45.0,top
C9,100nF,C_0402_1005Metric,117.41,-122.85,-90.0,top
C10,100nF,C_0402_1005Metric,130.93,-116.33,45.0,top
C11,100nF,C_0402_1005Metric,128.0,-112.81,45.0,top
C12,100nF,C_0402_1005Metric,118.14,-113.8,135.0,top
C13,100nF,C_0402_1005Metric,123.13,-125.31,-135.0,top
C14,100nF,C_0402_1005Metric,124.01,-128.02,-45.0,top
C15,1uF,C_0402_1005Metric,125.54,-126.4,-45.0,top
C16,100nF,C_0402_1005Metric,117.33,-114.61,135.0,top
C17,100nF,C_0402_1005Metric,132.15,-126.19,-90.0,top
C18,100nF,C_0402_1005Metric,128.65,-123.24,-45.0,top
C19,100nF,C_0402_1005Metric,138.46,-116.57,-90.0,top
C20,10uF,C_0805_2012Metric,127.45,-132.475,90.0,bottom
C21,10uF,C_0805_2012Metric,113.55,-127.0,90.0,bottom
C22,10uF,C_0805_2012Metric,127.49,-128.94,90.0,bottom
C23,10uF,C_0805_2012Metric,115.77,-126.97,90.0,bottom
D1,LED,LED_0603_no_outline,136.18,-101.23,-90.0,top
D2,LED,LED_0603_no_outline,140.51,-113.24,180.0,top
D3,LED,LED_0603_no_outline,140.49,-121.33,180.0,top
D4,D_Schottky,D_SOD-123,115.67,-131.25,270.0,bottom
D5,D_Schottky,D_SOD-123,111.16,-125.1,90.0,bottom
J1,Conn_01x03,Conn_01x03_2big_1small,140.62,-108.1,0.0,top
J2,Conn_01x04,Conn_01x04_fpv,132.07,-104.0,90.0,top
J3,Conn_01x04,Conn_01x04_fpv,113.83,-104.0,90.0,top
J4,Conn_01x03,Conn_01x03_2big_1small,140.575,-126.85,180.0,top
J5,Conn_01x04,Conn_01x04_fpv,113.83,-100.84,90.0,top
J6,Conn_01x03,Conn_01x03_2big_1small,107.5746,-126.85,180.0,top
J7,Conn_01x02,Conn_01x02_small,112.851,-111.01,90.0,top
J8,Conn_01x04,Conn_01x04_fpv,119.91,-100.83,90.0,top
J9,Conn_01x03,Conn_01x03_2big_1small,107.5496,-107.9778,0.0,top
J10,USB_C_Receptacle_USB2.0,USB-SMD_GT-USB-7010AN,109.7155,-117.46,-90.0,top
J12,Conn_01x04,Conn_01x04_fpv,132.07,-100.83,90.0,top
J14,Conn_01x03,PinHeader_1x03_P1.27mm_Vertical_no_silk_smd,107.15,-117.51,0.0,bottom
J15,Conn_01x04,Conn_01x04_fpv,125.97,-100.85,90.0,top
Q1,Q_PMOS_GSD,SOT-23,112.6,-131.66,270.0,bottom
R1,1k,R_0402_1005Metric,118.93,-113.07,-45.0,top
R2,27.4R,R_0402_1005Metric,127.11,-124.82,135.0,top
R3,27.4R,R_0402_1005Metric,126.35,-125.56,135.0,top
R4,10k,R_0402_1005Metric,116.17,-116.22,-45.0,top
R5,5.11k,R_0402_1005Metric,115.74,-123.71,270.0,bottom
R6,5.11k,R_0402_1005Metric,114.72,-123.68,270.0,bottom
R7,330R,R_0402_1005Metric,136.19,-103.78,-90.0,top
R8,330R,R_0402_1005Metric,136.74,-116.1,180.0,top
R9,330R,R_0402_1005Metric,136.77,-117.12,180.0,top
R10,10k,R_0402_1005Metric,120.98,-127.06,90.0,top
R11,5.6k,R_0402_1005Metric,122.05,-127.05,-90.0,top
R12,1k,R_0402_1005Metric,134.97,-126.18,90.0,top
R13,10k,R_0402_1005Metric,133.59,-126.21,-90.0,top
R14,10k,R_0402_1005Metric,111.42,-128.6,90.0,bottom
R15,10k,R_0402_1005Metric,114.61,-120.26,90.0,top
R16,20k,R_0402_1005Metric,115.78,-120.28,-90.0,top
SW1,SW_SPST,SW-SMD_TS-1086EV-16,140.39,-117.38,90.0,top
TP1,TestPoint,TP_0.7mm,124.36,-108.13,0.0,top
TP2,TestPoint,TP_0.7mm,123.55,-107.12,0.0,top
TP3,TestPoint,TP_0.7mm,122.85,-107.93,0.0,top
TP4,TestPoint,TP_0.7mm,121.36,-109.12,0.0,top
U1,BMI270,BMI270,123.55,-110.09,0.0,top
U2,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,123.703207,-118.526736,-135.0,top
U3,W25Q128JVSIQ,SOIC-8_5.23x5.23mm_P1.27mm,134.39,-121.57,180.0,top
U4,AMS1117-5.0,SOT-223-3_TabPin2,132.2,-129.975,90.0,bottom
U5,AMS1117-3.3,SOT-223-3_TabPin2,120.875,-130.325,90.0,bottom
Y1,CM4012M00020T8188087 ,Crystal_SMD_2520-4Pin_2.5x2.0mm,117.43,-110.55,180.0,top
